color_code,product_code,product_name,brand_name,source_file
B1,0DST4D082B1,블루 멜란지 울캐시미어혼방 수트,닥스 남성 세트,daks_men_products_enriched_all.csv
B1,0JSH5B208B1,[SET] 스카이블루워싱 데님 셋업,질스튜어트 뉴욕 세트,jillstuartnewyork_men_products_enriched_all.csv
B1,ARJU5A105B1,라이트블루《Multi Tweed》후디 점퍼,알레그리,allegri_products_enriched_all.csv
B1,ARPA5B861B1,[COMFORT FIT] 라이트 그레이 투 턱 핏 데님 팬츠,알레그리,allegri_products_enriched_all.csv
B1,ARPA5B891B1,라이트블루 세미부츠컷 데님,알레그리,allegri_products_enriched_all.csv
B1,ARPA6A851B1,라이트블루 [Straight Fit] 데님,알레그리,allegri_products_enriched_all.csv
B1,ARPA6B871B1,라이트블루《Relax Denim》컴포트 투 턱 핏 데님,알레그리,allegri_products_enriched_all.csv
B1,ARSH4C003B1,[클리어런스]틸 블루《Refined Wool》레귤러핏 풀오픈 셔츠,알레그리,allegri_products_enriched_all.csv
B1,ARSH4D702B1,라이트 블루《XACUS》 면 혼방 ACTIVE 셔츠,알레그리,allegri_products_enriched_all.csv
B1,ARSH5B212B1,라이트 블루《Faux Suede》반팔 셔츠,알레그리,allegri_products_enriched_all.csv
B1,ARSH5B233B1,라이트 블루《Wrinkle Free》린넨 라이크 셔츠,알레그리,allegri_products_enriched_all.csv
B1,ARSH5B241B1,라이트블루 세미 오버 핏 데님 반팔 셔츠,알레그리,allegri_products_enriched_all.csv
B1,ARSH5B911B1,라이트 블루《ACTIVE》드레스 셔츠,알레그리,allegri_products_enriched_all.csv
B1,ARSH5B912B1,라이트 블루《ACTIVE》와이드 카라 드레스 셔츠,알레그리,allegri_products_enriched_all.csv
B1,ARSH5B951B1,라이트 블루 면 혼방 포플린 드레스 셔츠,알레그리,allegri_products_enriched_all.csv
B1,ARSH5C103B1,라이트 블루《Organic Cotton》베이직 셔츠,알레그리,allegri_products_enriched_all.csv
B1,ARSH5C402B1,라이트블루 히든 버튼 데님 셔켓,알레그리,allegri_products_enriched_all.csv
B1,ARSH5C721B1,[Easy Care]라이트블루《Active》드레스 셔츠,알레그리,allegri_products_enriched_all.csv
B1,ARSH6A102B1,라이트블루 텐셀 셔츠,알레그리,allegri_products_enriched_all.csv
B1,ARSH6A103B1,라이트블루《Multi Stripe》셔츠,알레그리,allegri_products_enriched_all.csv
B1,ARSH6A141B1,LONGHI 라이트블루 《Active》솔리드 드레스 셔츠,알레그리,allegri_products_enriched_all.csv
B1,ARSH6A142B1,[LONGHI] 라이트블루《Active》패턴 드레스 셔츠,알레그리,allegri_products_enriched_all.csv
B1,ARSH6A220B1,라이트블루《Wrinkled Stripe》 세미오버 핏 셔츠,알레그리,allegri_products_enriched_all.csv
B1,ARSH6B303B1,라이트블루 텐셀 옴브레 체크 셔츠,알레그리,allegri_products_enriched_all.csv
B1,ARSH6B304B1,라이트블루 샴브레이 셔츠,알레그리,allegri_products_enriched_all.csv
B1,ARSW5A211B1,라이트 블루《SoftBloom》스웨터,알레그리,allegri_products_enriched_all.csv
B1,ARSW5B305B1,라이트 블루《Aura Silk》라운드 니트,알레그리,allegri_products_enriched_all.csv
B1,ARSW5B313B1,라이트 블루《MeshSoft》반팔 가디건,알레그리,allegri_products_enriched_all.csv
B1,ARSW5B401B1,라이트 블루《Cool Cotton》카라넥 니트,알레그리,allegri_products_enriched_all.csv
