product_code,product_name,brand_name,brand_id,brand_group_id,product_sale_type,season,season_name_raw,season_spring,season_summer,season_fall,season_winter,season_all,original_price,sale_price,discount_rate,sale_count,cart_count,review_count,review_score,purchase_count,viewing_count,wish_count,size_total_stock,size_stock_detail,color_total_stock,color_stock_detail,lf_category_l1,lf_category_l2,lf_category_l3
DMJU6A301I2,[EXCLUSIVE] 베이지 헤링턴 자켓,닥스 남성,DM,1001,1,[26SS],봄,1,0,0,0,0,429000,347490,19,0,0,107,4.7,238,76,81,33,"95:4, 100:20, 105:1, 110:3, 115:5",154,"베이지:33, 진한 네이비:121",남성의류,점퍼,캐쥬얼점퍼
DMJU6A301N3,[EXCLUSIVE] 다크네이비 헤링턴 자켓,닥스 남성,DM,1001,1,[26SS],봄,1,0,0,0,0,429000,347490,19,0,0,107,4.7,252,76,117,121,"95:29, 100:49, 105:22, 110:12, 115:9",154,"베이지:33, 진한 네이비:121",남성의류,점퍼,캐쥬얼점퍼
DMTS6A501G2,[EXCLUSIVE] 그레이 플라켓 체크 배색 닥스훈트 카라 티셔츠,닥스 남성,DM,1001,1,[26SS],봄,1,0,0,0,0,199000,161190,19,0,0,146,4.8,357,44,39,73,"95:13, 100:13, 105:28, 110:11, 115:5, 120:3",620,"블랙:129, 그레이:73, 아이보리:233, 네이비:185",남성의류,티셔츠,긴팔티셔츠
DMTS6A501N2,[EXCLUSIVE] 네이비 플라켓 체크 배색 닥스훈트 카라 티셔츠,닥스 남성,DM,1001,1,[26SS],봄,1,0,0,0,0,199000,161190,19,0,0,146,4.8,374,44,43,185,"95:42, 100:62, 105:48, 110:16, 115:9, 120:8",620,"블랙:129, 그레이:73, 아이보리:233, 네이비:185",남성의류,티셔츠,긴팔티셔츠
DMJU6B302N3,[EXCLUSIVE] 다크네이비 경량 블루종 점퍼,닥스 남성,DM,1001,1,[26SS],여름,0,1,0,0,0,359000,323100,10,0,0,81,4.8,55,34,25,137,"95:33, 100:47, 105:38, 110:12, 115:7",572,"밝은 블루:210, 밝은 베이지:225, 진한 네이비:137",남성의류,점퍼,캐쥬얼점퍼
DMTS6A501BK,[EXCLUSIVE] 블랙 플라켓 체크 배색 닥스훈트 카라 티셔츠,닥스 남성,DM,1001,1,[26SS],봄,1,0,0,0,0,199000,161190,19,0,0,146,4.8,374,44,15,129,"95:28, 100:43, 105:33, 110:13, 115:7, 120:5",620,"블랙:129, 그레이:73, 아이보리:233, 네이비:185",남성의류,티셔츠,긴팔티셔츠
DMPA6B304I1,[EXCLUSIVE] 라이트베이지 스트레치 치노 팬츠,닥스 남성,DM,1001,1,[26SS],여름,0,1,0,0,0,199000,161190,19,0,0,4,5.0,103,13,22,246,"79 (31):20, 82 (32):52, 85 (33):49, 88 (34):56, 91 (36):37, 94 (37):12, 97 (39):10, 100 (40):10",530,"밝은 블루:111, 밝은 베이지:246, 진한 네이비:173",남성의류,팬츠,롱팬츠
DMTS6A501IV,[EXCLUSIVE] 아이보리 플라켓 체크 배색 닥스훈트 카라 티셔츠,닥스 남성,DM,1001,1,[26SS],봄,1,0,0,0,0,199000,161190,19,0,0,146,4.8,357,44,37,233,"95:44, 100:75, 105:70, 110:22, 115:10, 120:12",620,"블랙:129, 그레이:73, 아이보리:233, 네이비:185",남성의류,티셔츠,긴팔티셔츠
DMSW6A301N2,[EXCLUSIVE] 네이비 투톤 조직물 긴팔 스웨터,닥스 남성,DM,1001,1,[26SS],봄,1,0,0,0,0,199000,161190,19,0,0,14,4.9,194,22,55,43,"95:22, 100:14, 105:7, 110:0, 115:0, 120:0",84,"그레이:41, 네이비:43",남성의류,니트/스웨터,
DMSW6A301G2,[EXCLUSIVE] 그레이 투톤 조직물 긴팔 스웨터,닥스 남성,DM,1001,1,[26SS],봄,1,0,0,0,0,199000,161190,19,0,0,14,4.9,194,22,61,41,"95:17, 100:16, 105:6, 110:0, 115:0, 120:2",84,"그레이:41, 네이비:43",남성의류,니트/스웨터,
WMJU5AN03N3,[스테디셀러] 네이비 단색 점퍼,닥스 남성,WM,1001,2,[25SS],봄,1,0,0,0,0,590000,345150,41,0,0,19,4.8,1,64,43,31,"095:9, 100:7, 105:5, 110:8, 115:2",94,"베이지:20, 네이비:8, 진한 네이비:31, 진한 청록:35",남성의류,점퍼,캐쥬얼점퍼
WMJU5AN03I2,[스테디셀러] 베이지 단색 점퍼,닥스 남성,WM,1001,2,[25SS],봄,1,0,0,0,0,590000,345150,41,0,0,19,4.8,1,64,65,20,"095:6, 100:5, 105:6, 110:1, 115:2",94,"베이지:20, 네이비:8, 진한 네이비:31, 진한 청록:35",남성의류,점퍼,캐쥬얼점퍼
WMTS4DC31I2,[클리어런스][스테디셀러] 베이지 로고자수 면혼방 긴팔카라티셔츠,닥스 남성,WM,1001,2,[24FW],겨울,0,0,0,1,0,240000,97200,59,0,0,51,4.7,1,34,132,18,"095:0, 100:10, 105:6, 110:0, 115:2",93,"밝은 초록:71, 베이지:18, 네이비:4",남성의류,티셔츠,긴팔티셔츠
DMJU5B303N2,네이비 썸머 블루종 점퍼,닥스 남성,DM,1001,2,[25SS],여름,0,1,0,0,0,349000,219870,37,0,0,178,4.8,916,41,31,3,"95:0, 100:1, 105:0, 110:1, 115:1",17,"탁한 블루:5, 밝은 그레이:9, 네이비:3",남성의류,점퍼,캐쥬얼점퍼
DMJU5A301N3,다크네이비 기능성 사방 스트레치 블루종 점퍼,닥스 남성,DM,1001,2,[25SS],봄,1,0,0,0,0,439000,251110,42,0,0,23,4.6,551,48,67,16,"95:1, 100:6, 105:2, 110:0, 115:7",31,"그레이:15, 진한 네이비:16",남성의류,점퍼,캐쥬얼점퍼
WMJU5AN03T3,[스테디셀러] 터키쉬블루 단색 점퍼,닥스 남성,WM,1001,2,[25SS],봄,1,0,0,0,0,590000,345150,41,0,0,19,4.8,1,64,24,35,"095:10, 100:13, 105:11, 110:0, 115:1",94,"베이지:20, 네이비:8, 진한 네이비:31, 진한 청록:35",남성의류,점퍼,캐쥬얼점퍼
DMJU5A301G2,그레이 기능성 사방 스트레치 블루종 점퍼,닥스 남성,DM,1001,2,[25SS],봄,1,0,0,0,0,439000,251110,42,0,0,23,4.6,545,48,45,15,"95:0, 100:10, 105:0, 110:0, 115:5",31,"그레이:15, 진한 네이비:16",남성의류,점퍼,캐쥬얼점퍼
WMTS4DC31E1,[클리어런스][스테디셀러] 그린 로고자수 면혼방 긴팔카라티셔츠,닥스 남성,WM,1001,2,[24FW],겨울,0,0,0,1,0,240000,97200,59,0,0,51,4.7,1,34,53,71,"095:4, 100:41, 105:19, 110:3, 115:4",93,"밝은 초록:71, 베이지:18, 네이비:4",남성의류,티셔츠,긴팔티셔츠
WMJU5AN03N2,[스테디셀러] 네이비 단색 점퍼,닥스 남성,WM,1001,2,[25SS],봄,1,0,0,0,0,590000,345150,41,0,0,19,4.8,1,64,18,8,"095:6, 100:0, 105:0, 110:0, 115:2",94,"베이지:20, 네이비:8, 진한 네이비:31, 진한 청록:35",남성의류,점퍼,캐쥬얼점퍼
WMTS4DC32B1,[클리어런스][스테디셀러] 블루 로고자수 면혼방 긴팔카라티셔츠,닥스 남성,WM,1001,2,[24FW],겨울,0,0,0,1,0,240000,97200,59,0,0,72,4.8,2,23,82,63,"095:10, 100:43, 105:10, 110:0, 115:0",162,"밝은 블루:63, 와인:9, 베이지:46, 진한 청록:44",남성의류,티셔츠,긴팔티셔츠
DMSH5AC01G1,린넨 코튼 혼방 라이트그레이 마이크로패턴 강연 긴팔 셔츠,닥스 남성,DM,1001,2,[25SS],봄,1,0,0,0,0,200000,114400,42,0,0,9,5.0,404,11,24,41,"95:14, 100:13, 105:14, 110:0, 115:0",41,밝은 그레이:41,남성의류,셔츠,긴팔캐쥬얼셔츠
DMPA6B303G2,[EXCLUSIVE] 그레이 스트레이트핏 데님 팬츠,닥스 남성,DM,1001,1,[26SS],여름,0,1,0,0,0,229000,206100,10,0,0,3,5.0,64,25,15,189,"79 (31):31, 82 (32):36, 85 (33):32, 88 (34):36, 91 (36):24, 94 (37):13, 97 (39):9, 100 (40):8",482,"블루:293, 그레이:189",남성의류,데님팬츠,롱
DMTS6A302N2,[EXCLUSIVE] 네이비 스트라이프 카라 티셔츠,닥스 남성,DM,1001,1,[26SS],봄,1,0,0,0,0,229000,175180,23,0,0,5,4.6,138,23,39,94,"95:40, 100:34, 105:10, 110:6, 115:2, 120:2",234,"그레이:140, 네이비:94",남성의류,티셔츠,긴팔티셔츠
