product_code,product_name,brand_name,brand_id,brand_group_id,product_sale_type,season,season_name_raw,season_spring,season_summer,season_fall,season_winter,season_all,original_price,sale_price,discount_rate,sale_count,cart_count,review_count,review_score,purchase_count,viewing_count,wish_count,size_total_stock,size_stock_detail,color_total_stock,color_stock_detail,lf_category_l1,lf_category_l2,lf_category_l3
HZJU6A201I2,베이지 헤링턴 면혼방 점퍼,헤지스 남성,HZ,1002,1,[26SS],봄,1,0,0,0,0,399000,271320,32,0,0,32,5.0,1,124,198,60,"S (95):34, M (100):16, L (105):8, XL (110):2, XXL (115):0",70,"블루:8, 블랙:2, 베이지:60",남성의류,점퍼,캐쥬얼점퍼
HZSH6A209B2,블루 캐주얼 데님 셔츠,헤지스 남성,HZ,1002,1,[26SS],봄,1,0,0,0,0,199000,138500,30,0,0,15,4.8,699,61,95,14,"S (95):4, M (100):7, L (105):1, XL (110):0, 3XL:0, XXL:2",29,"블루:14, 그레이:13, 네이비:2",남성의류,셔츠,긴팔캐쥬얼셔츠
HZJU6A201BK,블랙 헤링턴 면혼방 점퍼,헤지스 남성,HZ,1002,1,[26SS],봄,1,0,0,0,0,399000,271320,32,0,0,32,5.0,1,124,130,2,"S (95):0, M (100):2, L (105):0, XL (110):0, XXL (115):0",70,"블루:8, 블랙:2, 베이지:60",남성의류,점퍼,캐쥬얼점퍼
HZJU6A206K3,카키 숏 헌팅 자켓,헤지스 남성,HZ,1002,1,[26SS],봄,1,0,0,0,0,399000,271320,32,0,0,12,4.9,920,35,108,16,"S (95):7, M (100):5, L (105):1, XL (110):0, XXL (115):3",24,"베이지:8, 진한 카키:16",남성의류,점퍼,캐쥬얼점퍼
HZTS6A201N3,[ESSENTIAL] 네이비 조직감 폴로셔츠,헤지스 남성,HZ,1002,1,[26SS],봄,1,0,0,0,0,179000,124580,30,0,0,4,5.0,1,29,26,4,"XS (90):0, S (95):1, M (100):0, L (105):3, XL (110):0, XXL (115):0",34,"그레이:6, 진한 네이비:4, 흰색:24",남성의류,티셔츠,긴팔티셔츠
WHPA4C301I2,[클리어런스][스테디셀러] 베이지 멜란지 면혼방 밴딩팬츠,헤지스 남성,WH,1002,2,[24FW],가을,0,0,1,0,0,209000,84640,59,0,0,171,4.7,4,59,147,183,"30(78cm):11, 31(80cm):10, 32(82cm):10, 33(84cm):37, 34(86cm):67, 35(88cm):34, 36(92cm):10, 37(94cm):4",209,"베이지:183, 네이비:26",남성의류,팬츠,롱팬츠
WHTS4D432N1,[클리어런스][스테디셀러] 라이트네이비 단색 면혼방 긴팔카라티셔츠,헤지스 남성,WH,1002,2,[24FW],겨울,0,0,0,1,0,169000,68440,59,0,0,571,4.8,12,57,169,40,"95:39, 100:0, 105:1, 110:0, 115:0, 120:0",56,"탁한 블루:0, 블랙:0, 차콜 그레이:13, 와인:0, 진한 초록:3, 밝은 네이비:40, 네이비:0",남성의류,티셔츠,긴팔티셔츠
WHPA4C301N2,[클리어런스][스테디셀러] 네이비 단색 면혼방 밴딩팬츠,헤지스 남성,WH,1002,2,[24FW],가을,0,0,1,0,0,209000,84640,59,0,0,160,4.8,4,59,121,26,"30(78cm):4, 31(80cm):0, 32(82cm):22, 33(84cm):0, 34(86cm):0, 35(88cm):0, 36(92cm):0, 37(94cm):0",209,"베이지:183, 네이비:26",남성의류,팬츠,롱팬츠
WHSH4D402B2,[클리어런스][스테디셀러] 블루 체크 면 긴팔캐주얼셔츠,헤지스 남성,WH,1002,2,[24FW],겨울,0,0,0,1,0,189000,76540,59,0,0,214,4.7,5,54,141,73,"095:49, 100:24, 105:0, 110:0, 115:0, 120:0",264,"블루:73, 밝은 베이지:77, 네이비:85, 청록:29",남성의류,셔츠,긴팔캐쥬얼셔츠
WHTS4D432CG,[클리어런스][스테디셀러] 차콜그레이 단색 면혼방 긴팔카라티셔츠,헤지스 남성,WH,1002,2,[24FW],겨울,0,0,0,1,0,169000,68440,59,0,0,623,4.8,12,57,217,13,"95:12, 100:0, 105:1, 110:0, 115:0, 120:0",56,"탁한 블루:0, 블랙:0, 차콜 그레이:13, 와인:0, 진한 초록:3, 밝은 네이비:40, 네이비:0",남성의류,티셔츠,긴팔티셔츠
