product_code,product_name,brand_name,brand_id,brand_group_id,product_sale_type,season,season_name_raw,season_spring,season_summer,season_fall,season_winter,season_all,original_price,sale_price,discount_rate,sale_count,cart_count,review_count,review_score,display_category_id,soldout,purchase_count,viewing_count,wish_count,size_total_stock,size_stock_detail,color_total_stock,color_stock_detail,lf_category_l1,lf_category_l2,lf_category_l3
JNJU6B701BK,[ONLINE EXCLUSIVE] 논페이드 초어 데님 트러커 - 블랙,질스튜어트 뉴욕 남성,JN,1017,1,[26SS],여름,0,1,0,0,0,530000,377070,28,0,0,0,0.0,110219,False,13,183,0,88,"S (95):17, M (100):37, L (105):24, XL (110):10",88,블랙:88,남성의류,점퍼,캐쥬얼점퍼
JNTS6A802N3,[NEW YORK SWEAT] UrbanShell 후드집업 - 다크네이비,질스튜어트 뉴욕 남성,JN,1017,1,[26SS],봄,1,0,0,0,0,290000,261000,10,0,0,8,4.6,110219,False,120,13,0,10,"S (95):3, M (100):1, L (105):4, XL (110):2",59,"블랙:11, 밝은 초록:38, 진한 네이비:10",남성의류,티셔츠,긴팔티셔츠
WYJU5A005B5,[스테디셀러] 세미 오버핏 데님 트러커,질 스튜어트 뉴욕 남성,WY,1017,2,[25SS],"봄, 여름, 가을",1,1,1,0,0,590000,353110,40,0,0,9,4.8,110219,False,154,27,0,2,"95:0, 100:0, 105:1, 110:1",2,탁한 블루:2,남성의류,점퍼,캐쥬얼점퍼
JNSH5C110B2,옴브레 체크 셔츠 - 블루,질스튜어트 뉴욕 남성,JN,1017,2,[25FW],가을,0,0,1,0,0,370000,233100,37,0,0,20,4.8,20110219,False,283,21,0,9,"S (95):0, M (100):7, L (105):0, XL (110):2",43,"블루:9, 그레이:34",남성의류,셔츠,긴팔캐쥬얼셔츠
JNJU4C102I1,[클리어런스]라이트베이지 디테쳐블 후드 점퍼,질스튜어트 뉴욕 남성,JN,1017,2,[24FW],가을,0,0,1,0,0,640000,241060,62,0,0,12,4.8,20110219,False,218,25,0,5,"S (95):5, M (100):0, L (105):0, XL (110):0",11,"진한 초록:6, 밝은 베이지:5",남성의류,점퍼,캐쥬얼점퍼
JNJU4C701G2,[클리어런스]그레이 자수 그래픽 코치 점퍼,질스튜어트 뉴욕 남성,JN,1017,2,[24FW],가을,0,0,1,0,0,349000,131450,62,0,0,10,4.8,20110219,False,110,23,0,15,"S (95):2, M (100):13, L (105):0, XL (110):0",19,"블랙:4, 그레이:15",남성의류,점퍼,캐쥬얼점퍼
JNJU5D778BK,리얼레더 블루종 점퍼 - 블랙,질스튜어트 뉴욕 남성,JN,1017,2,[25FW],겨울,0,0,0,1,0,990000,623700,37,0,0,11,5.0,110219,False,193,20,0,20,"M (100):20, L (105):0, XL (110):0",47,"블랙:20, 밝은 베이지:27",남성의류,점퍼,가죽
JNTS5B201BK,[GENTLE JERSEY] 블랙 반팔 카라 레귤러핏 티셔츠,질스튜어트 뉴욕 남성,JN,1017,2,[25SS],여름,0,1,0,0,0,180000,113400,37,0,0,24,4.8,20110219,False,637,0,0,21,"S (95):9, M (100):0, L (105):11, XL (110):1",133,"블랙:21, 밝은 초록:16, 진한 그레이:28, 밝은 베이지:37, 흰색:31",남성의류,티셔츠,반팔티셔츠
WYTS4C001BK,[클리어런스][스테디셀러] 블랙 라운드 스웻셔츠,질 스튜어트 뉴욕 남성,WY,1017,2,[24FW],"봄, 여름, 상반기, 하반기",1,1,0,0,0,250000,94160,62,0,0,26,4.8,20110219,False,420,0,0,23,"95:7, 100:8, 105:8, 110:0",37,"블랙:23, 초록:14, 밝은 그레이:0",남성의류,티셔츠,긴팔티셔츠
JNPA5B005B5,[BEST]원워시드 데님 스트링 밴딩팬츠,질스튜어트 뉴욕 남성,JN,1017,2,[25SS],"봄, 여름",1,1,0,0,0,320000,191520,40,0,0,35,4.9,20110284,False,689,15,0,4,"78R (30R):0, 82R (32R):0, 86R (34R):0, 90R (36R):0, 94R (38R):4",6,"밝은 블루:2, 탁한 블루:4",남성의류,데님팬츠,롱
WYTS4C002G3,[클리어런스][스테디셀러] [Airy-Sweat] 그레이 후드 집업,질 스튜어트 뉴욕 남성,WY,1017,2,[24FW],가을,0,0,1,0,0,310000,116760,62,0,0,80,4.8,20110219,False,326,23,0,10,"95:9, 100:0, 105:1, 110:0",17,"블랙:7, 진한 그레이:10",남성의류,티셔츠,긴팔티셔츠
WYPA4D001B2,[클리어런스][스테디셀러] 블루워싱 레귤러핏 데님팬츠,질 스튜어트 뉴욕 남성,WY,1017,2,[24FW],겨울,0,0,0,1,0,320000,120530,62,0,0,25,4.8,20110284,False,321,27,0,14,"78R:1, 82R:2, 86R:8, 90R:2, 94R:1",34,"블루:14, 진한 그레이:20",남성의류,데님팬츠,롱
JNTS5B200WT,화이트 소프트트윌 세미오버핏 티셔츠,질스튜어트 뉴욕 남성,JN,1017,2,[25SS],여름,0,1,0,0,0,150000,94500,37,0,0,24,4.8,20110219,False,736,0,0,59,"S (95):16, M (100):11, L (105):24, XL (110):8",201,"블랙:94, 그레이:30, 네이비:18, 흰색:59",남성의류,티셔츠,반팔티셔츠
WYTS4C002BK,[클리어런스][스테디셀러] [Airy-Sweat] 블랙 후드 집업,질 스튜어트 뉴욕 남성,WY,1017,2,[24FW],가을,0,0,1,0,0,310000,116760,62,0,0,80,4.8,20110219,False,326,23,0,7,"95:1, 100:5, 105:1, 110:0",17,"블랙:7, 진한 그레이:10",남성의류,티셔츠,긴팔티셔츠
JNJU4C105G3,[클리어런스]다크그레이 트위드 트러커,질스튜어트 뉴욕 남성,JN,1017,2,[24FW],가을,0,0,1,0,0,690000,259890,62,0,0,4,5.0,20110219,False,93,0,0,9,"S (95):2, M (100):4, L (105):3, XL (110):0",9,진한 그레이:9,남성의류,점퍼,캐쥬얼점퍼
JNJU4B006G2,[클리어런스]그레이 유틸리티 집업 점퍼,질스튜어트 뉴욕 남성,JN,1017,2,[24SS],여름,0,1,0,0,0,540000,267300,50,0,0,10,4.9,20110219,False,66,0,0,27,"S (95):1, M (100):17, L (105):6, XL (110):3",27,그레이:27,남성의류,점퍼,캐쥬얼점퍼
JNTS5C201I2,세미오버핏 카라 스트라이프 맨투맨 - 베이지,질스튜어트 뉴욕 남성,JN,1017,2,[25FW],가을,0,0,1,0,0,250000,149620,40,0,0,5,5.0,110219,False,110,11,0,7,"S (95):1, M (100):1, L (105):4, XL (110):1",20,"블랙:13, 베이지:7",남성의류,티셔츠,긴팔티셔츠
WYJU4C501T3,[클리어런스][스테디셀러] [비건 스웨이드] 터콰이즈블루 세미오버핏 아우터형 셔츠,질 스튜어트 뉴욕 남성,WY,1017,2,[24FW],가을,0,0,1,0,0,690000,259890,62,0,0,20,5.0,110219,False,459,12,0,7,"95:1, 100:0, 105:4, 110:2",9,"블랙:0, 밝은 베이지:2, 진한 청록:7",남성의류,점퍼,캐쥬얼점퍼
WYTS4C001E2,[클리어런스][스테디셀러] 그린 라운드 스웻셔츠,질 스튜어트 뉴욕 남성,WY,1017,2,[24FW],가을,0,0,1,0,0,250000,94160,62,0,0,26,4.8,20110219,False,420,0,0,14,"95:2, 100:2, 105:6, 110:4",37,"블랙:23, 초록:14, 밝은 그레이:0",남성의류,티셔츠,긴팔티셔츠
WYSW4C001BK,[클리어런스][스테디셀러] 블랙 짜임 울혼방 가디건,질 스튜어트 뉴욕 남성,WY,1017,2,[24FW],가을,0,0,1,0,0,440000,165730,62,0,0,32,4.8,110219,False,417,10,0,15,"95:8, 100:7, 105:0, 110:0",41,"블랙:15, 그레이:16, 진한 그레이:10",남성의류,가디건,기본가디건
WYPA4D002G3,[클리어런스][스테디셀러] 다크그레이 스트레이트핏 데님팬츠,질 스튜어트 뉴욕 남성,WY,1017,2,[24FW],겨울,0,0,0,1,0,320000,120530,62,0,0,25,4.8,20110284,False,292,0,0,22,"78R:4, 82R:10, 86R:0, 90R:5, 94R:3",50,"블루:28, 진한 그레이:22",남성의류,데님팬츠,롱
WYSW4C001G3,[클리어런스][스테디셀러] 다크그레이 짜임 울혼방 가디건,질 스튜어트 뉴욕 남성,WY,1017,2,[24FW],가을,0,0,1,0,0,440000,178200,59,0,0,32,4.8,110219,False,417,10,0,10,"95:4, 100:3, 105:3, 110:0",41,"블랙:15, 그레이:16, 진한 그레이:10",남성의류,가디건,기본가디건
WYTS5A001WT,[스터디셀러] 화이트 실켓 터치 롱 슬리브 티셔츠,질 스튜어트 뉴욕 남성,WY,1017,2,[25SS],봄,1,0,0,0,0,220000,138600,37,0,0,21,4.7,20110219,False,85,0,0,12,"95:1, 100:2, 105:5, 110:4",46,"블랙:12, 진한 그레이:22, 흰색:12",남성의류,티셔츠,긴팔티셔츠
JNTS5B200BK,블랙 소프트트윌 세미오버핏 티셔츠,질스튜어트 뉴욕 남성,JN,1017,2,[25SS],여름,0,1,0,0,0,150000,89770,40,0,0,24,4.8,20110219,False,736,0,0,94,"S (95):28, M (100):33, L (105):33, XL (110):0",201,"블랙:94, 그레이:30, 네이비:18, 흰색:59",남성의류,티셔츠,반팔티셔츠
WYSW4C001G2,[클리어런스][스테디셀러] 그레이 짜임 울혼방 가디건,질 스튜어트 뉴욕 남성,WY,1017,2,[24FW],가을,0,0,1,0,0,440000,165730,62,0,0,32,4.8,110219,False,417,10,0,16,"95:9, 100:7, 105:0, 110:0",41,"블랙:15, 그레이:16, 진한 그레이:10",남성의류,가디건,기본가디건
JNJU4C004S2,[클리어런스]세피아 레귤러핏 하운즈투스 자켓,질스튜어트 뉴욕 남성,JN,1017,2,[24FW],가을,0,0,1,0,0,690000,259890,62,0,0,4,5.0,20110219,False,28,0,0,6,"S (95):0, M (100):4, L (105):2",6,세피아:6,남성의류,점퍼,캐쥬얼점퍼
JNJU4C504G3,[클리어런스]다크그레이 페이크 레더 후드 집업 점퍼,질스튜어트 뉴욕 남성,JN,1017,2,[24FW],가을,0,0,1,0,0,790000,297550,62,0,0,8,4.8,20110219,False,55,0,0,6,"S (95):3, M (100):2, L (105):1, XL (110):0",6,진한 그레이:6,남성의류,점퍼,캐쥬얼점퍼
JNSH5C112B3,샴브레이 데님셔츠 - 인디고블루,질스튜어트 뉴욕 남성,JN,1017,2,[25FW],가을,0,0,1,0,0,420000,264600,37,0,0,7,4.9,20110219,False,94,0,0,28,"S (95):2, M (100):8, L (105):9, XL (110):9",28,진한 블루:28,남성의류,셔츠,긴팔캐쥬얼셔츠
WYJU5A001N3,[스테디셀러] 네이비 카라 블루종,질 스튜어트 뉴욕 남성,WY,1017,2,[25SS],"봄, 여름, 가을",1,1,1,0,0,790000,472810,40,0,0,7,5.0,110219,False,61,11,0,4,"100:2, 105:2, 110:0",13,"진한 네이비:4, 밝은 세피아:9",남성의류,점퍼,캐쥬얼점퍼
JNSH5C110G2,옴브레 체크 셔츠 - 그레이,질스튜어트 뉴욕 남성,JN,1017,2,[25FW],가을,0,0,1,0,0,370000,233100,37,0,0,20,4.8,20110219,False,283,21,0,34,"S (95):9, M (100):7, L (105):10, XL (110):8",43,"블루:9, 그레이:34",남성의류,셔츠,긴팔캐쥬얼셔츠
WYPA4D002B2,[클리어런스][스테디셀러] 블루 레귤러핏 데님팬츠,질 스튜어트 뉴욕 남성,WY,1017,2,[24FW],겨울,0,0,0,1,0,320000,120530,62,0,0,28,4.7,20110284,False,292,0,0,28,"78R:4, 82R:21, 86R:0, 90R:1, 94R:2",50,"블루:28, 진한 그레이:22",남성의류,데님팬츠,롱
JNJU4C101I3,[클리어런스]다크베이지 세미오버핏 울혼방 트위드 점퍼,질스튜어트 뉴욕 남성,JN,1017,2,[24FW],가을,0,0,1,0,0,790000,297550,62,0,0,5,4.8,20110219,False,95,24,0,4,"S (95):0, M (100):0, L (105):2, XL (110):2",8,"블랙:4, 진한 베이지:4",남성의류,점퍼,캐쥬얼점퍼
JNPA4D501G3,[클리어런스][LORO PIANA 원단] 다크그레이 솔리드 수트 팬츠,질스튜어트 뉴욕 남성,JN,1017,2,[24FW],"가을, 겨울",0,0,1,1,0,420000,158190,62,0,0,5,4.8,20110219,False,176,0,0,4,"78 (30):3, 82 (32):0, 86 (34):0, 90 (36):0, 94 (38):1",11,"블랙:2, 진한 그레이:4, 진한 네이비:5",남성의류,팬츠,슬랙스
JNJU4C107I2,[클리어런스]베이지 가먼트 다잉 옥스포드 US워크 점퍼,질스튜어트 뉴욕 남성,JN,1017,2,[24FW],가을,0,0,1,0,0,590000,238950,59,0,0,21,4.7,20110219,False,214,0,0,2,"S (95):0, M (100):2, L (105):0, XL (110):0",2,"진한 그레이:0, 베이지:2",남성의류,점퍼,캐쥬얼점퍼
JNJU6B702B3,[ONLINE EXCLUSIVE] 프렌치 데님 초어 트러커 - 프렌치 블루,질스튜어트 뉴욕 남성,JN,1017,1,[26SS],여름,0,1,0,0,0,530000,377070,28,0,0,0,0.0,110219,False,0,45,0,50,"S (95):9, M (100):22, L (105):13, XL (110):6",50,진한 블루:50,남성의류,점퍼,캐쥬얼점퍼
