product_code,product_name,brand_name,category_name,color_group,price_range,sale_price,available_size_text,final_score
HZTS5D892CG,[시즌오프][LF몰 단독] 차콜 소매 배색 맨투맨,헤지스 남성,티셔츠,그레이/차콜,10만~50만원,109010,95,4758.0
DMSW5D301N2,[EXCLUSIVE] 네이비 울100% 체크 카라넥 스웨터,닥스 남성,스웨터/맨투맨,네이비,10만~50만원,164880,"95,100,105,115",4593.0
DMTS5D501N3,[EXCLUSIVE][닥스훈트] 다크네이비 헤링본 체크카라 티셔츠,닥스 남성,티셔츠,네이비,10만~50만원,143280,"95,100,110",4577.5
DMTS5D502CG,[EXCLUSIVE][닥스훈트] 차콜그레이 마이크로 패턴 카라 티셔츠,닥스 남성,티셔츠,그레이/차콜,10만~50만원,136080,"95,100,105,110,115,120",4549.5
DMSW5D302N2,[EXCLUSIVE] 네이비 울100% 체크 풀집업 스웨터,닥스 남성,스웨터/맨투맨,네이비,10만~50만원,236880,"95,100,105,120",4534.0
DMTS5D501CG,[EXCLUSIVE][닥스훈트] 차콜그레이 헤링본 체크카라 티셔츠,닥스 남성,티셔츠,그레이/차콜,10만~50만원,143280,"95,100,105,110,115,120",4528.5
DMSW5D301CG,[EXCLUSIVE] 차콜그레이 울100% 체크 카라넥 스웨터,닥스 남성,스웨터/맨투맨,그레이/차콜,10만~50만원,164880,"95,100,105,115,120",4463.5
DMSW5D502G2,[EXCLUSIVE][워셔블] 그레이 메리노 울100% 터틀넥 스웨터,닥스 남성,스웨터/맨투맨,그레이/차콜,10만~50만원,144270,"100,105,120",4310.0
DMSW5D302CG,[EXCLUSIVE] 차콜그레이 울100% 체크 풀집업 스웨터,닥스 남성,스웨터/맨투맨,그레이/차콜,10만~50만원,236880,"95,100,105",4292.5
DMSW5D502BK,[EXCLUSIVE][워셔블] 블랙 메리노 울100% 터틀넥 스웨터,닥스 남성,스웨터/맨투맨,블랙,10만~50만원,144270,"95,100,105,110,120",4261.0
