product_code,product_name,brand_name,category_name,size_type,color_group,price_range,sale_price,available_size_text,final_score
DMTS5D502T1,[EXCLUSIVE][닥스훈트] 라이트터키쉬블루 마이크로 패턴 카라 티셔츠,닥스 남성,티셔츠,top,블루,10만~50만원,136080,"95,100,105,110,115,120",4570.5
WHTS3D433CR,[클리어런스][스테디셀러]크림 단색 면 반집업티셔츠,헤지스 남성,티셔츠,top,화이트/아이보리,10만원 이하,62940,"95,100,105,110",4360.5
HZSH6E201B2,[아이코닉] 블루 옥스포드 셔츠,헤지스 남성,셔츠,top,블루,10만~50만원,136080,"95,100,105,110",3939.5
HZSH6E201WT,[아이코닉] 화이트 옥스포드 셔츠,헤지스 남성,셔츠,top,화이트/아이보리,10만~50만원,136080,"95,100,105",3905.5
DMTS5B304T3,[워셔블] 다크터키쉬블루 기능성 반팔 카라 티셔츠,닥스 남성,티셔츠,top,블루,10만~50만원,119070,"95,100,105,110,115",3897.5
HZSH6E201B3,[아이코닉] 다크 블루 옥스포드 셔츠,헤지스 남성,셔츠,top,블루,10만~50만원,136080,"95,100,105,110",3892.0
DMTS5B304WT,[워셔블] 화이트 기능성 반팔 카라 티셔츠,닥스 남성,티셔츠,top,화이트/아이보리,10만~50만원,119070,"95,100,105,110,115",3880.0
HZSH4D501T2,[반값세일]터콰이즈 플라넬 하운즈투스 셔츠,헤지스 남성,셔츠,top,블루,10만원 이하,80590,"100,105,115",3868.5
HZTS6A201WT,[ESSENTIAL] 조직감 폴로셔츠,헤지스 남성,티셔츠,top,화이트/아이보리,10만~50만원,121720,"90,95,100,105,115",3838.5
HZTS5A104CR,크림 조직감 스트라이프 오픈카라 맨투맨,헤지스 남성,티셔츠,top,화이트/아이보리,10만~50만원,131670,"95,105,110,115",3803.0
HZTS4D601CR,[반값세일]크림 니트라이크 맨투맨,헤지스 남성,티셔츠,top,화이트/아이보리,10만원 이하,76540,"90,95,110,115",3781.5
DMSH4FC01B2,[반값세일][EASY CARE] 솔리드 레귤러핏 긴팔 드레스셔츠,닥스 남성,셔츠,top,블루,10만원 이하,68850,"95,100",3738.0
HZTS5B755WT,[HAZZYS HARRY] 로잉크루 해리 그래픽 티셔츠,헤지스 남성,티셔츠,top,화이트/아이보리,10만원 이하,59700,"90,95,100,105,110",3732.0
HZSH5A202B3,[아이코닉] 블루 솔리드 옥스포드 셔츠,헤지스 남성,셔츠,top,블루,10만~50만원,119070,"95,100",3731.5
HZTS5A343OW,[ESSENTIAL] 화이트 와플 조직 긴팔 티셔츠,헤지스 남성,티셔츠,top,화이트/아이보리,10만원 이하,87570,"100,105",3679.0
HZSH5A207B2,[아이코닉] 블루 옥스포드 스트라이프 셔츠,헤지스 남성,셔츠,top,블루,10만~50만원,119070,"95,100",3668.0
WMSH4BC12B2,[반값세일][스테디셀러]블루 체크 울혼방 반팔캐주얼셔츠,닥스 남성,셔츠,top,블루,10만~50만원,108900,"95,100,105",3659.0
DMTS4BC21OW,[반값세일][GIFT] 코튼 혼방 면블럭 반팔 카라티셔츠,닥스 남성,티셔츠,top,화이트/아이보리,10만~50만원,118800,"95,100,105",3652.5
DMSH6E001WT,화이트 레귤러핏 드레스 셔츠,닥스 남성,셔츠,top,화이트/아이보리,10만~50만원,162000,"95,100,105,110,115",3649.5
HZSH5D534WT,화이트 호크니 체크 셔츠,헤지스 남성,셔츠,top,화이트/아이보리,10만~50만원,131670,"95,100,105,115",3640.0
DMSH6E001B2,블루 레귤러핏 드레스 셔츠,닥스 남성,셔츠,top,블루,10만~50만원,162000,"95,100,105,110,115",3635.5
DMTS4BC74CR,[반값세일][IMPORTED FABRIC] 조직감 반팔 카라티셔츠,닥스 남성,티셔츠,top,화이트/아이보리,10만~50만원,163350,"95,100,105,110,115",3631.0
HZTS6B403B1,[아이코닉] 피케 폴로셔츠,헤지스 남성,티셔츠,top,블루,10만~50만원,143100,"90,95,100,105,110,115",3619.5
DMTS4BC74B1,[반값세일][IMPORTED FABRIC] 조직감 반팔 카라티셔츠,닥스 남성,티셔츠,top,블루,10만~50만원,163350,"95,100,105,115",3617.0
HZSH5A206B2,블루 마이크로 포플린 셔츠,헤지스 남성,셔츠,top,블루,10만~50만원,119070,"95,100,110",3615.5
HZSH6A223B2,블루 스트라이프 져지 셔츠,헤지스 남성,셔츠,top,블루,10만~50만원,150480,"95,100,105,110",3611.0
HZTS6B403WT,[아이코닉] 피케 폴로셔츠,헤지스 남성,티셔츠,top,화이트/아이보리,10만~50만원,143100,"90,95,100,105,110,115",3605.5
HZTS6B403T2,[아이코닉] 피케 폴로셔츠,헤지스 남성,티셔츠,top,블루,10만~50만원,143100,"90,95,100,105,110,115",3605.5
DMSH5BC04WT,화이트 버튼다운 면혼방 캐주얼긴팔셔츠,닥스 남성,셔츠,top,화이트/아이보리,10만~50만원,138600,"95,100,105,110",3589.5
DMSH5EC11B2,화섬 블루 반팔 드레스셔츠,닥스 남성,셔츠,top,블루,10만원 이하,91800,"95,100,105,110",3589.5
