product_code,product_name,brand_name,category_name,size_type,color_group,price_range,sale_price,available_size_text,final_score
TNPA6E106N2,Lot.872 Straight-Fit Denim Pants (Raw Indigo),티엔지티,팬츠,bottom,네이비,10만원 이하,75050,"30,32,34,36",4868.5
TNPA6E106BK,Lot.872 Straight-Fit Denim Pants (Black),티엔지티,팬츠,bottom,블랙,10만원 이하,75050,"30,32,34,36",4844.0
TNPA5F001BK,Flap Wide Slacks (Black),티엔지티,팬츠,bottom,블랙,10만원 이하,56880,"34,36",4542.5
TNPA6E101BK,Essential Semi-Wide Fit Pants (Black),티엔지티,팬츠,bottom,블랙,10만원 이하,65550,"30,32,34,36",4426.5
TNPA6E101G2,Essential Semi-Wide Fit Pants (Grey),티엔지티,팬츠,bottom,그레이/차콜,10만원 이하,65550,"30,32,34,36",4237.5
TNPA5F102G2,Virgin-wool Herringbone Wide Pants (Grey),티엔지티,팬츠,bottom,그레이/차콜,10만원 이하,88290,32,4218.0
HZPA4D254N3,[반값세일][COSY WARM] [STRAIGHT] 진청 워싱 기모 플리스 스트레치 데님,헤지스 남성,팬츠,bottom,네이비,10만원 이하,96790,"30,31,33,34,35,36,37",4173.0
HZPA4D404G2,[반값세일][STRAIGHT] 그레이 몰스킨 기모 팬츠,헤지스 남성,팬츠,bottom,그레이/차콜,10만원 이하,96790,"30,34,35,36,37,38",4096.5
HZPA4D404N2,[반값세일][STRAIGHT] 네이비 몰스킨 기모 팬츠,헤지스 남성,팬츠,bottom,네이비,10만원 이하,96790,"29,30",4075.5
HZPA4D402N2,[반값세일][STRAIGHT] 네이비 폴리 코듀로이 셋업 팬츠,헤지스 남성,팬츠,bottom,네이비,10만원 이하,96790,"30,31,32,33,35",3987.0
HZPA5D281N2,[시즌오프][RELAX] 중청 워싱 데님,헤지스 남성,팬츠,bottom,네이비,10만~50만원,150570,"29,30,31,32,33,34,35,36,37",3982.5
HZPA4D402N3,[반값세일][STRAIGHT] 다크네이비 폴리 코듀로이 셋업 팬츠,헤지스 남성,팬츠,bottom,네이비,10만원 이하,96790,"30,35,36",3969.5
TNPA5F106BK,Slit Flared-fit Pants (Black),티엔지티,팬츠,bottom,블랙,10만원 이하,60430,"32,34,36",3960.5
TNPA5F105BK,Cotton Wide-fit Pants (Black),티엔지티,팬츠,bottom,블랙,10만원 이하,56880,"30,32,34,36",3940.0
HZPA5D281N3,[시즌오프][RELAX] 중청 워싱 데님,헤지스 남성,팬츠,bottom,네이비,10만~50만원,150570,"29,30,31,32,33,34,35,36,37",3926.5
HZPA5D481BK,블랙 트리코트 기모 밴딩팬츠,헤지스 남성,팬츠,bottom,블랙,10만~50만원,150570,"29,30,31,32,33,34,35,36,37,38",3899.0
HZPA5B261CG,[STRAIGHT] 흑청 워싱 스트레치 데님,헤지스 남성,팬츠,bottom,그레이/차콜,10만~50만원,137970,"30,31,33,34,35,36",3838.0
HZPA6E232N2,[STRAIGHT] 네이비 투톤 조직감 팬츠,헤지스 남성,팬츠,bottom,네이비,10만~50만원,142120,"29,30,31,32,33,34,35,36,37,38",3820.5
HZPA4D461CG,[반값세일][STRAIGHT] 차콜그레이 투톤 조직 기모 슬랙스,헤지스 남성,팬츠,bottom,그레이/차콜,10만원 이하,88690,"29,30,31,37,38",3798.5
HZPA5A261BK,[STRAIGHT] 블랙 솔리드 슬랙스,헤지스 남성,팬츠,bottom,블랙,10만~50만원,127660,"30,31,32,33",3730.5
HZPA6B271N2,[STRAIGHT] 중청 워싱 스트레치 데님,헤지스 남성,팬츠,bottom,네이비,10만~50만원,215100,"29,30,31,32,33,34,35,36,37,38",3718.5
TNPA5E204N2,Hard Twist Sports Set-Up Pants (Navy),티엔지티,팬츠,bottom,네이비,10만원 이하,43470,"30,32,34,36",3713.5
HZPA6B271N1,[STRAIGHT] 연청 워싱 스트레치 데님,헤지스 남성,팬츠,bottom,네이비,10만~50만원,215100,"29,30,31,32,33,34,35,36,37,38",3704.5
TNPA5E204G2,Hard Twist Sports Set-Up Pants (Gray),티엔지티,팬츠,bottom,그레이/차콜,10만원 이하,43470,"30,34,36",3692.5
HZPA5D481G2,그레이 트리코트 기모 밴딩팬츠,헤지스 남성,팬츠,bottom,그레이/차콜,10만~50만원,150570,"30,31,32,33,34,35,36,37,38",3685.5
HZPA5B256G3,[TAPERED] 다크그레이 테일러드 데님 밴딩팬츠,헤지스 남성,팬츠,bottom,그레이/차콜,10만~50만원,144120,"29,30,31,34,35,36,37",3658.0
HZPA5A261G2,[STRAIGHT] 그레이 솔리드 슬랙스,헤지스 남성,팬츠,bottom,그레이/차콜,10만~50만원,127660,"30,31,32",3657.0
HZPA5D271N1,[STRAIGHT] 연청 워싱 스트레치 데님,헤지스 남성,팬츠,bottom,네이비,10만~50만원,137970,"30,31,32,33,34,35,36,37",3655.5
HZPA5D463BK,[STRAIGHT] 블랙 기모 슬랙스,헤지스 남성,팬츠,bottom,블랙,10만~50만원,150570,"29,30,31,32,33,34,35,36,37,38",3651.5
HZPA4C361CG,[반값세일][STRAIGHT]차콜그레이 솔리드 슬랙스,헤지스 남성,팬츠,bottom,그레이/차콜,10만원 이하,88690,"30,31,36,37",3629.5
