product_code,product_name,brand_name,category_name,color_group,price_range,sale_price,available_size_text,final_score
DMTS5D502T1,[EXCLUSIVE][닥스훈트] 라이트터키쉬블루 마이크로 패턴 카라 티셔츠,닥스 남성,티셔츠,블루,10만~50만원,136080,"95,100,105,110,115,120",4570.5
TNSH5F105B2,Comfort Stripe Shirt (Dusty Blue),티엔지티,셔츠,블루,10만원 이하,56880,95,4555.5
IETS6E101B1,코어 스웻셔츠 라이트 블루,일꼬르소,티셔츠,블루,10만원 이하,47790,"95,100,105,110",4452.0
IETS6E101T2,코어 스웻셔츠 터콰이즈 블루,일꼬르소,티셔츠,블루,10만원 이하,42480,"95,100,105,110",4399.5
TNSH5F100B2,Comfort Cotton Shirt (Blue),티엔지티,셔츠,블루,10만원 이하,43540,"95,100,105,110",4383.5
WHTS3D433CR,[클리어런스][스테디셀러]크림 단색 면 반집업티셔츠,헤지스 남성,티셔츠,화이트/아이보리,10만원 이하,62940,"95,100,105,110",4360.5
TNSH5F100OW,Comfort Cotton Shirt (Off-White),티엔지티,셔츠,화이트/아이보리,10만원 이하,43540,"95,100",4297.5
IESH5E101B5,NEW 컴포트 셔츠 그레이시블루,일꼬르소,셔츠,블루,10만원 이하,48060,"95,105",4072.0
IESH5E407B1,투 포켓 데님 반팔 셔츠 라이트블루,일꼬르소,셔츠,블루,10만원 이하,62370,"95,100,105,110",4051.0
ARTS5B200B4,페일 블루《LuxCool》롱슬리브 라운드 티셔츠,알레그리,티셔츠,블루,10만~50만원,107730,95,4037.0
