product_code,product_name,brand_name,category_name,size_type,color_group,price_range,sale_price,available_size_text,final_score
TNJA5F107N2,FrayBoy Wool Blended Gold Button Blazer (Navy),티엔지티,자켓,top,네이비,10만~50만원,150480,"95,100,105",4612.0
IEJU5F003BK,맥스 쉴드 다운 점퍼 블랙,일꼬르소,점퍼,top,블랙,10만~50만원,226150,"95,100,105,110",4587.0
HZJU4D325N2,[반값세일]네이비 몰스킨 워크자켓,헤지스 남성,점퍼,top,네이비,10만~50만원,185890,"95,100",4569.0
TNJU5F205BK,European-goose Corduroy Herrington down Jumper (Black),티엔지티,점퍼,top,블랙,10만~50만원,228730,"95,100",4542.0
IEJU6E101CG,패디드 펑셔널 후드 점퍼 차콜그레이,일꼬르소,점퍼,top,그레이/차콜,10만~50만원,133200,"95,100,105,110",4487.0
IEJU5F003G3,맥스 쉴드 다운 점퍼 다크 그레이,일꼬르소,점퍼,top,그레이/차콜,10만~50만원,226150,"95,100,105,110",4475.0
IEJU5F202BK,베르통 페이크 레더 점퍼 블랙,일꼬르소,점퍼,top,블랙,10만~50만원,128950,"95,100",4392.0
TNCO5F102G2,Pin-stripe Tailored Double-breasted Coat (Gray),티엔지티,코트,top,그레이/차콜,10만~50만원,222480,"95,100,105",4348.0
HZJU6A201BK,블랙 헤링턴 면혼방 점퍼,헤지스 남성,점퍼,top,블랙,10만~50만원,244190,"95,100,105",4329.0
TNJA5F202G2,Heavy Wool Oversized Blazer (Grey),티엔지티,자켓,top,그레이/차콜,10만~50만원,182830,"95,100",4322.5
IEJU6E102BK,MA-1 숄 플라이트 자켓 블랙,일꼬르소,점퍼,top,블랙,10만~50만원,150480,"95,100",4248.0
HZJU5D315BK,[시즌오프][클래식] 블랙 에버딘 헌팅 자켓,헤지스 남성,점퍼,top,블랙,10만~50만원,279530,"95,100,105,110,115",4165.0
WHJU4D501G2,[반값세일][스테디셀러] 카키 탈착후드 다운 패딩점퍼,헤지스 남성,점퍼,top,그레이/차콜,10만~50만원,234490,"95,100,105,110,115",4161.5
TNCO5F102BK,Heavy Wool Tailored Double-breasted Coat (Black),티엔지티,코트,top,블랙,10만~50만원,222480,"95,100,105",4145.0
IEJU5F006BK,첼시 숏 다운 점퍼 블랙,일꼬르소,점퍼,top,블랙,10만~50만원,174310,"95,100,105,110",4139.0
WHCO4D504N2,[반값세일][스테디셀러] 네이비 울캐시미어혼방 발마칸 코트,헤지스 남성,코트,top,네이비,10만~50만원,283090,"95,100,105,110,115",4128.0
TNCO5F101BK,Heavy Wool Double-breasted Coat (Black),티엔지티,코트,top,블랙,10만~50만원,249780,"95,100",4102.5
DMJU5B303N2,네이비 썸머 블루종 점퍼,닥스 남성,점퍼,top,네이비,10만~50만원,213590,"100,105,110,115",4100.0
DMJU5B303G1,라이트그레이 썸머 블루종 점퍼,닥스 남성,점퍼,top,그레이/차콜,10만~50만원,206470,"100,105,110,115",4072.5
TNJU5F104BK,Vintage Short Jumper (Black),티엔지티,점퍼,top,블랙,10만~50만원,132100,"95,100,105,110",4013.0
HZJU5D505BK,[Lightweight] 블랙 구스다운 유틸리티 파카,헤지스 남성,점퍼,top,블랙,10만~50만원,478170,"95,100,105,110,115",3958.5
WHJU4D406BK,[반값세일][스테디셀러]블랙 다운 패딩베스트,헤지스 남성,점퍼,top,블랙,10만~50만원,104890,"95,100,110",3956.0
DMJU5D001N3,다크네이비 밍크퍼 카라 탈착 후드 구스다운 점퍼,닥스 남성,점퍼,top,네이비,50만~100만원,812700,"105,110",3946.0
HZJA5D461N2,[시즌오프]네이비 투톤 울 TR 셋업 자켓,헤지스 남성,자켓,top,네이비,10만~50만원,314370,"95,100,105,110,115",3942.5
HZJU6A105N2,네이비 디테쳐블 라이닝 화섬 자켓,헤지스 남성,점퍼,top,네이비,10만~50만원,319460,"95,100",3921.5
HZJA5D461G2,[시즌오프]그레이 투톤 울TR 셋업 자켓,헤지스 남성,자켓,top,그레이/차콜,10만~50만원,314370,"95,100,105,110,115",3872.5
WHCO4D504CG,[반값세일][스테디셀러] 차콜그레이 울캐시미어혼방 발마칸 코트,헤지스 남성,코트,top,그레이/차콜,10만~50만원,283090,"95,100,105,110,115",3855.0
WHCO5A202N2,[스테디셀러] 네이비 면혼방 하프코트,헤지스 남성,코트,top,네이비,10만~50만원,314370,"95,100,105,110",3785.0
HZJA5D341N2,[CLASSIC] 네이비 투톤 울 라이크 져지 자켓,헤지스 남성,자켓,top,네이비,10만~50만원,314370,"95,100,105,110,115",3748.0
TNJA5F102G2,Pin-stripe Double breasted Jacket (Grey),티엔지티,자켓,top,그레이/차콜,10만~50만원,124720,"95,100,105",3737.5
