product_code,product_name,brand_name,category_name,size_type,color_group,price_range,sale_price,available_size_text,final_score
TNPA6E106N2,Lot.872 Straight-Fit Denim Pants (Raw Indigo),티엔지티,팬츠,bottom,네이비,10만원 이하,75050,"30,32,34,36",4868.5
TNPA6E106BK,Lot.872 Straight-Fit Denim Pants (Black),티엔지티,팬츠,bottom,블랙,10만원 이하,75050,"30,32,34,36",4844.0
TNJA5F107N2,FrayBoy Wool Blended Gold Button Blazer (Navy),티엔지티,자켓,top,네이비,10만~50만원,150480,"95,100,105",4612.0
IEPA4F007BK,[클리어런스]히든밴딩 세미 와이드 슬릿 슬랙스,일꼬르소,팬츠,bottom,블랙,10만원 이하,35370,"30,32,34",4566.0
TNPA5F001BK,Flap Wide Slacks (Black),티엔지티,팬츠,bottom,블랙,10만원 이하,56880,"34,36",4542.5
TNPA6E101BK,Essential Semi-Wide Fit Pants (Black),티엔지티,팬츠,bottom,블랙,10만원 이하,65550,"30,32,34,36",4426.5
TNSH5F104BK,Oversized Check Shirt (Black),티엔지티,셔츠,top,블랙,10만원 이하,72090,"95,100,105",4379.0
TNSH5F100OW,Comfort Cotton Shirt (Off-White),티엔지티,셔츠,top,화이트/아이보리,10만원 이하,43540,"95,100",4297.5
HZPA4D254N3,[반값세일][COSY WARM] [STRAIGHT] 진청 워싱 기모 플리스 스트레치 데님,헤지스 남성,팬츠,bottom,네이비,10만원 이하,96790,"30,31,33,34,35,36,37",4173.0
IEPA5F005CR,워시드 더티 와이드핏 데님 팬츠 크림,일꼬르소,팬츠,bottom,화이트/아이보리,10만원 이하,77110,"30,32,36",4142.5
HZPA4D404CR,[반값세일][STRAIGHT] 크림 몰스킨 기모 팬츠,헤지스 남성,팬츠,bottom,화이트/아이보리,10만원 이하,96790,"34,36,37",4016.0
HZPA4D402N2,[반값세일][STRAIGHT] 네이비 폴리 코듀로이 셋업 팬츠,헤지스 남성,팬츠,bottom,네이비,10만원 이하,96790,"30,31,32,33,35",3987.0
HZPA5D281N2,[시즌오프][RELAX] 중청 워싱 데님,헤지스 남성,팬츠,bottom,네이비,10만~50만원,150570,"29,30,31,32,33,34,35,36,37",3982.5
TNJA5F104CR,Corduroy Jacket (Cream),티엔지티,자켓,top,화이트/아이보리,10만~50만원,136080,"95,100,105,110",3974.0
TNPA5F106BK,Slit Flared-fit Pants (Black),티엔지티,팬츠,bottom,블랙,10만원 이하,60430,"32,34,36",3960.5
HZJA5D461N2,[시즌오프]네이비 투톤 울 TR 셋업 자켓,헤지스 남성,자켓,top,네이비,10만~50만원,314370,"95,100,105,110,115",3942.5
TNPA5F105BK,Cotton Wide-fit Pants (Black),티엔지티,팬츠,bottom,블랙,10만원 이하,56880,"30,32,34,36",3940.0
HZPA5D281N3,[시즌오프][RELAX] 중청 워싱 데님,헤지스 남성,팬츠,bottom,네이비,10만~50만원,150570,"29,30,31,32,33,34,35,36,37",3926.5
HZSH6E201WT,[아이코닉] 화이트 옥스포드 셔츠,헤지스 남성,셔츠,top,화이트/아이보리,10만~50만원,136080,"95,100,105",3905.5
HZPA5D481BK,블랙 트리코트 기모 밴딩팬츠,헤지스 남성,팬츠,bottom,블랙,10만~50만원,150570,"29,30,31,32,33,34,35,36,37,38",3899.0
HZPA6E232N2,[STRAIGHT] 네이비 투톤 조직감 팬츠,헤지스 남성,팬츠,bottom,네이비,10만~50만원,142120,"29,30,31,32,33,34,35,36,37,38",3820.5
IEPA5E702BK,[일꼬르소X미즈노] 커넥션 워크 하프 팬츠 블랙,일꼬르소,팬츠,bottom,블랙,10만원 이하,56070,"30,32,34",3780.0
IEPA5E001BK,하이웨스트 딥 커브드 슬랙스 블랙,일꼬르소,팬츠,bottom,블랙,10만원 이하,53950,"30,32,34",3758.0
HZJA5D341N2,[CLASSIC] 네이비 투톤 울 라이크 져지 자켓,헤지스 남성,자켓,top,네이비,10만~50만원,314370,"95,100,105,110,115",3748.0
HZPA5A261BK,[STRAIGHT] 블랙 솔리드 슬랙스,헤지스 남성,팬츠,bottom,블랙,10만~50만원,127660,"30,31,32,33",3730.5
WHSH4D501N2,[반값세일][스테디셀러] 네이비 버튼다운 면 긴팔캐주얼셔츠,헤지스 남성,셔츠,top,네이비,10만원 이하,80590,"95,100,105",3710.5
HZSH5D534N2,네이비 호크니 체크 셔츠,헤지스 남성,셔츠,top,네이비,10만~50만원,131670,"95,100,105,115",3692.5
TNJA4F101BK,블랙 오버핏 노치드 싱글 트윌 셋업 자켓,티엔지티,자켓,top,블랙,10만원 이하,69970,"95,105,110",3660.5
DMSH6E001WT,화이트 레귤러핏 드레스 셔츠,닥스 남성,셔츠,top,화이트/아이보리,10만~50만원,162000,"95,100,105,110,115",3649.5
WHJA5A201N2,[스테디셀러]네이비 절개장식 면혼방 자켓,헤지스 남성,자켓,top,네이비,10만~50만원,276570,"95,100,105,110",3594.5
