product_code,product_name,brand_name,brand_id,brand_group_id,product_sale_type,season,season_name_raw,season_spring,season_summer,season_fall,season_winter,season_all,original_price,sale_price,discount_rate,sale_count,cart_count,review_count,review_score,purchase_count,viewing_count,wish_count,size_total_stock,size_stock_detail,color_total_stock,color_stock_detail,lf_category_l1,lf_category_l2,lf_category_l3,display_category_id,soldout,source_file,season_warm_weight,season_mid_weight,season_cold_weight,season_temperature_score,season_profile_label,category_code,color_code
0ATS5B403E1,[SET] 벨루어 신규 소재 + 성하 벨루어 하프 팬츠(티셔츠 셋업),알레그리,0A,1897,2,[25SS],,0,0,0,0,0,480000,302400,37,0,0,5,4.8,90,0,14,0,,1,밝은 초록:1,남성의류,티셔츠,반팔티셔츠,,,allegri_products_enriched_all.csv,0.0,0.0,0.0,,unknown,TS,E1
0AJA5A421CG,[SET] 챠콜 그레이《Tech Tailoring》GUABELLO 수트 셋업,알레그리,0A,1897,2,[25SS],,0,0,0,0,0,1330000,797850,40,0,0,2,5.0,45,0,13,0,,5,차콜 그레이:5,남성의류,정장,,,,allegri_products_enriched_all.csv,0.0,0.0,0.0,,unknown,JA,CG
0AJA4C404W2,[SET] 다크 브라운《Tech Tailoring》ZEGNA 슈트 자켓+팬츠,알레그리,0A,1897,2,[24FW],,0,0,0,0,0,1640000,664200,59,0,0,3,4.7,45,10,13,0,,6,브라운:6,남성의류,정장,,,,allegri_products_enriched_all.csv,0.0,0.0,0.0,,unknown,JA,W2
0ASH5B222BK,블랙《Wave Pleate》오픈카라 하프 셔츠+팬츠 셋업,알레그리,0A,1897,2,[25SS],,0,0,0,0,0,730000,459900,37,0,0,0,0.0,168,0,5,0,,1,블랙:1,남성의류,셔츠,반팔캐쥬얼셔츠,,,allegri_products_enriched_all.csv,0.0,0.0,0.0,,unknown,SH,BK
0AJA5B422N3,[SET] 다크 네이비《Tech Tailoring》LORO PIANA 수트,알레그리,0A,1897,2,[25SS],,0,0,0,0,0,1690000,1064700,37,0,0,0,0.0,137,0,7,0,,1,진한 네이비:1,남성의류,정장,,,,allegri_products_enriched_all.csv,0.0,0.0,0.0,,unknown,JA,N3
0AJA4C401BK,[SET] 블랙《Flex Wool》슈트 자켓+팬츠,알레그리,0A,1897,2,[24FW],,0,0,0,0,0,1180000,477900,59,0,0,7,4.6,47,0,6,0,,5,블랙:5,남성의류,자켓,숏/하프자켓,,,allegri_products_enriched_all.csv,0.0,0.0,0.0,,unknown,JA,BK
0ASW5C005G3,다크그레이《Cashmere Blended》[Set up],알레그리,0A,1897,2,[25FW],,0,0,0,0,0,1100000,693000,37,0,0,11,4.8,240,0,1,0,,0,진한 그레이:0,남성의류,가디건,기본가디건,,,allegri_products_enriched_all.csv,0.0,0.0,0.0,,unknown,SW,G3
0AJA5B462CG,차콜그레이 피크드 라펠 《Tech Tailoring》수트 셋업,알레그리,0A,1897,2,[25SS],,0,0,0,0,0,2080000,1310400,37,0,0,0,0.0,53,0,1,0,,3,차콜 그레이:3,남성의류,정장,,,,allegri_products_enriched_all.csv,0.0,0.0,0.0,,unknown,JA,CG
0ASH5B222N3,네이비《Wave Pleate》오픈카라 하프 셔츠+팬츠 셋업,알레그리,0A,1897,2,[25SS],,0,0,0,0,0,730000,459900,37,0,0,4,5.0,166,0,7,0,,2,진한 네이비:2,남성의류,셔츠,반팔캐쥬얼셔츠,,,allegri_products_enriched_all.csv,0.0,0.0,0.0,,unknown,SH,N3
0AJA4C401G3,[SET] 그레이《Flex Wool》슈트 자켓+팬츠,알레그리,0A,1897,2,[24FW],,0,0,0,0,0,1180000,477900,59,0,0,1,5.0,54,0,12,0,,2,진한 그레이:2,남성의류,자켓,숏/하프자켓,,,allegri_products_enriched_all.csv,0.0,0.0,0.0,,unknown,JA,G3
0AJA5B312BK,[SET] 블랙《Woolly Sucker》셋업,알레그리,0A,1897,2,[25SS],,0,0,0,0,0,1080000,680400,37,0,0,0,0.0,324,0,9,0,,6,블랙:6,남성의류,자켓,숏/하프자켓,,,allegri_products_enriched_all.csv,0.0,0.0,0.0,,unknown,JA,BK
0AJA4C414CG,[SET] 차콜 그레이《Tech Tailoring》LORO PIANA 쉐도우 체크 슈트 자켓+팬츠,알레그리,0A,1897,2,[24FW],,0,0,0,0,0,1640000,664200,59,0,0,0,0.0,82,0,4,0,,0,차콜 그레이:0,남성의류,자켓,숏/하프자켓,,,allegri_products_enriched_all.csv,0.0,0.0,0.0,,unknown,JA,CG
0AJA4C402N3,[SET] 네이비《Flex Wool》슈트 자켓+팬츠,알레그리,0A,1897,2,[24FW],,0,0,0,0,0,1180000,477900,59,0,0,1,5.0,64,0,4,0,,7,진한 네이비:7,남성의류,자켓,숏/하프자켓,,,allegri_products_enriched_all.csv,0.0,0.0,0.0,,unknown,JA,N3
0AJA5A421BK,[SET] 블랙《Tech Tailoring》GUABELLO 수트 셋업,알레그리,0A,1897,2,[25SS],,0,0,0,0,0,1330000,837900,37,0,0,3,5.0,59,0,1,0,,8,블랙:8,남성의류,정장,,,,allegri_products_enriched_all.csv,0.0,0.0,0.0,,unknown,JA,BK
0AJA5A422N3,[SET] 다크 네이비《Tech Tailoring》E.ZEGNA 수트 셋업,알레그리,0A,1897,2,[25SS],,0,0,0,0,0,1690000,1064700,37,0,0,4,4.8,157,0,4,0,,5,진한 네이비:5,남성의류,정장,,,,allegri_products_enriched_all.csv,0.0,0.0,0.0,,unknown,JA,N3
0AJA4C203G3,[SET] 그레이《Wool Jersey》레귤러핏 자켓+팬츠,알레그리,0A,1897,2,[24FW],,0,0,0,0,0,1180000,477900,59,0,0,3,5.0,44,36,3,0,,2,진한 그레이:2,남성의류,정장,,,,allegri_products_enriched_all.csv,0.0,0.0,0.0,,unknown,JA,G3
0AJA5A422G3,[SET] 다크 그레이《Tech Tailoring》E.ZEGNA 수트 셋업,알레그리,0A,1897,2,[25SS],,0,0,0,0,0,1690000,1015200,39,0,0,1,5.0,79,0,4,0,,8,진한 그레이:8,남성의류,정장,,,,allegri_products_enriched_all.csv,0.0,0.0,0.0,,unknown,JA,G3
0AJA4C203N3,[SET] 네이비《Wool Jersey》레귤러핏 자켓+팬츠,알레그리,0A,1897,2,[24FW],,0,0,0,0,0,1180000,477900,59,0,0,4,4.8,27,36,4,0,,1,진한 네이비:1,남성의류,정장,,,,allegri_products_enriched_all.csv,0.0,0.0,0.0,,unknown,JA,N3
