product_code,product_name,brand_name,brand_id,brand_group_id,product_sale_type,season,season_name_raw,season_spring,season_summer,season_fall,season_winter,season_all,original_price,sale_price,discount_rate,sale_count,cart_count,review_count,review_score,purchase_count,viewing_count,wish_count,size_total_stock,size_stock_detail,color_total_stock,color_stock_detail,lf_category_l1,lf_category_l2,lf_category_l3
TNJU6E103BK,Faux Suede Jumper (Black),티엔지티,B000,1004,1,[26SS],봄,1,0,0,0,0,189000,136080,28,0,0,78,4.9,1,101,415,330,"085:91, 95:67, 100:101, 105:63, 110:8",801,"블랙:330, 캐멀:471",남성의류,점퍼,캐쥬얼점퍼
TNSW6E100G2,Cashmere Blended Knit Cardigan (Grey),티엔지티,B000,1004,1,[26SS],"봄, 여름",1,1,0,0,0,119000,85680,28,0,0,51,4.9,1,37,198,435,"085:97, 95:82, 100:107, 105:92, 110:57",1182,"블랙:468, 그레이:435, 레드:279",남성의류,가디건,기본가디건
TNJU6E103CM,Faux Suede Jumper (Camel Brown),티엔지티,B000,1004,1,[26SS],봄,1,0,0,0,0,189000,136080,28,0,0,78,4.9,1,101,346,471,"085:58, 95:103, 100:185, 105:91, 110:34",801,"블랙:330, 캐멀:471",남성의류,점퍼,캐쥬얼점퍼
0TJA6E100CG,High Wool Blended Comfort Set-up (Charcoal),티엔지티 세트,0T,1004,1,[26SS],봄,1,0,0,0,0,268000,192960,28,0,0,32,4.9,723,41,153,0,,323,차콜 그레이:323,남성의류,정장,
TNJU6E109G2,Oversized Fleece Jumper (Grey),티엔지티,B000,1004,1,[26SS],봄,1,0,0,0,0,119000,85680,28,0,0,75,4.7,1,44,505,119,"085:106, 95:0, 100:0, 105:0, 110:13",958,"블랙:839, 그레이:119",남성의류,점퍼,캐쥬얼점퍼
TNSW6E100BK,Cashmere Blended Knit Cardigan (Black),티엔지티,B000,1004,1,[26SS],"봄, 여름",1,1,0,0,0,119000,85680,28,0,0,51,4.9,1,37,179,468,"085:93, 95:99, 100:146, 105:97, 110:33",1182,"블랙:468, 그레이:435, 레드:279",남성의류,가디건,기본가디건
TNTS6E103G2,Oversized Fleece Quarter Zip (Grey),티엔지티,B000,1004,1,[26SS],봄,1,0,0,0,0,99000,71280,28,0,0,56,4.9,1,27,263,799,"085:128, 95:137, 100:252, 105:212, 110:70",2214,"블랙:1103, 그레이:799, 브라운:312",남성의류,티셔츠,긴팔티셔츠
TNPA6E101BK,Essential Semi-Wide Pants (Black),티엔지티,B000,1004,1,[26SS],"봄, 여름",1,1,0,0,0,69000,52780,23,0,0,59,4.9,904,39,174,63,"078 (30):27, 082 (32):9, 086 (34):22, 090 (36):5",366,"블랙:63, 그레이:84, 진한 베이지:219",남성의류,팬츠,슬랙스
TNPA6E114BK,Yoyogi Pleats Tapered Pants (Black),요요기 플리츠 바이 티엔지티,B01O,1004,1,[26SS],봄,1,0,0,0,0,99000,84640,14,0,0,14,5.0,454,52,82,123,"0XS:18, 00S:40, 00M:36, 00L:29, 0XL:0",404,"블랙:123, 네이비:113, 브라운:168",남성의류,팬츠,롱팬츠
TNJU6E101W2,Corduroy Harrington Jumper (Khaki Brown),티엔지티,B000,1004,1,[26SS],봄,1,0,0,0,0,209000,150480,28,0,0,66,4.9,1,58,406,643,"085:79, 95:120, 100:254, 105:141, 110:49",1126,"블랙:483, 브라운:643",남성의류,점퍼,캐쥬얼점퍼
