rank,set_type,anchor_product_code,anchor_product_name,anchor_role,bottom_product_code,bottom_product_name,top_product_code,top_product_name,outer_product_code,outer_product_name,bottom_top_score,bottom_outer_score,top_outer_base_score,top_outer_season_score,top_outer_score,top_outer_season_distance,top_outer_season_reason,triplet_season_penalty,set_score,top_reason_text,outer_reason_text,set_reason
1,3piece,JNTS5B201WT,[GENTLE JERSEY] 화이트 반팔 카라 레귤러핏 티셔츠,top,IEPA5E406B2,카펜터 데님 반바지 블루,JNTS5B201WT,[GENTLE JERSEY] 화이트 반팔 카라 레귤러핏 티셔츠,IEJU6E102BK,숄 플라이트 MA-1 자켓 블랙,87.6909,62.27,60.01,90.0,66.008,0.125,top-outer 시즌감이 유사함,0.0,71.9896,,"무드 조화가 좋음, 색 조합이 안정적임, 포멀도 차이가 크지 않음, 기존 추천 점수도 높은 편",카펜터 데님 반바지 블루 + 숄 플라이트 MA-1 자켓 블랙 3피스 조합 / top-outer 시즌감이 유사함
2,3piece,JNTS5B201WT,[GENTLE JERSEY] 화이트 반팔 카라 레귤러핏 티셔츠,top,IEPA5E101B3,워시드 다이얼 와이드 팬츠 오션 네이비,JNTS5B201WT,[GENTLE JERSEY] 화이트 반팔 카라 레귤러핏 티셔츠,IEJU6E102BK,숄 플라이트 MA-1 자켓 블랙,87.8196,61.91,60.01,90.0,66.008,0.125,top-outer 시즌감이 유사함,0.0,71.9125,,"무드 조화가 좋음, 색 조합이 안정적임, 포멀도 차이가 크지 않음, 기존 추천 점수도 높은 편",워시드 다이얼 와이드 팬츠 오션 네이비 + 숄 플라이트 MA-1 자켓 블랙 3피스 조합 / top-outer 시즌감이 유사함
3,3piece,JNTS5B201WT,[GENTLE JERSEY] 화이트 반팔 카라 레귤러핏 티셔츠,top,IEPA5E101B2,워시드 다이얼 와이드 데님 팬츠 블루,JNTS5B201WT,[GENTLE JERSEY] 화이트 반팔 카라 레귤러핏 티셔츠,IEJU6E102BK,숄 플라이트 MA-1 자켓 블랙,87.8113,61.91,60.01,90.0,66.008,0.125,top-outer 시즌감이 유사함,0.0,71.9098,,"무드 조화가 좋음, 색 조합이 안정적임, 포멀도 차이가 크지 않음, 기존 추천 점수도 높은 편",워시드 다이얼 와이드 데님 팬츠 블루 + 숄 플라이트 MA-1 자켓 블랙 3피스 조합 / top-outer 시즌감이 유사함
4,3piece,JNTS5B201WT,[GENTLE JERSEY] 화이트 반팔 카라 레귤러핏 티셔츠,top,JNPA5B005B5,[BEST]원워시드 데님 스트링 밴딩팬츠,JNTS5B201WT,[GENTLE JERSEY] 화이트 반팔 카라 레귤러핏 티셔츠,IEJU6E102BK,숄 플라이트 MA-1 자켓 블랙,87.7028,60.91,60.01,90.0,66.008,0.125,top-outer 시즌감이 유사함,0.0,71.5403,,"무드 조화가 좋음, 색 조합이 안정적임, 포멀도 차이가 크지 않음, 기존 추천 점수도 높은 편",[BEST]원워시드 데님 스트링 밴딩팬츠 + 숄 플라이트 MA-1 자켓 블랙 3피스 조합 / top-outer 시즌감이 유사함
5,3piece,JNTS5B201WT,[GENTLE JERSEY] 화이트 반팔 카라 레귤러핏 티셔츠,top,JNPA5B005B1,[BEST][컬러추가] 스카이블루워싱 데님 스트링 밴딩팬츠,JNTS5B201WT,[GENTLE JERSEY] 화이트 반팔 카라 레귤러핏 티셔츠,IEJU6E102BK,숄 플라이트 MA-1 자켓 블랙,87.7028,60.91,60.01,90.0,66.008,0.125,top-outer 시즌감이 유사함,0.0,71.5403,,"무드 조화가 좋음, 색 조합이 안정적임, 포멀도 차이가 크지 않음, 기존 추천 점수도 높은 편",[BEST][컬러추가] 스카이블루워싱 데님 스트링 밴딩팬츠 + 숄 플라이트 MA-1 자켓 블랙 3피스 조합 / top-outer 시즌감이 유사함
6,3piece,JNTS5B201WT,[GENTLE JERSEY] 화이트 반팔 카라 레귤러핏 티셔츠,top,IEPA5E406B2,카펜터 데님 반바지 블루,JNTS5B201WT,[GENTLE JERSEY] 화이트 반팔 카라 레귤러핏 티셔츠,TNJU6E107N2,Yoyogi Pleats Hooded Zip-Up (Navy),87.6909,62.35,60.01,55.0,59.008,0.5,top-outer 시즌감 차이가 약간 있음,15.0,54.683,,"무드 조화가 좋음, 색 조합이 안정적임, 포멀도 차이가 크지 않음, 기존 추천 점수도 높은 편",카펜터 데님 반바지 블루 + Yoyogi Pleats Hooded Zip-Up (Navy) 3피스 조합 / top-outer 시즌감 차이가 약간 있음
7,3piece,JNTS5B201WT,[GENTLE JERSEY] 화이트 반팔 카라 레귤러핏 티셔츠,top,IEPA5E406B2,카펜터 데님 반바지 블루,JNTS5B201WT,[GENTLE JERSEY] 화이트 반팔 카라 레귤러핏 티셔츠,TNJU6E107BK,Yoyogi Pleats Hooded Zip-Up (Black),87.6909,61.81,60.01,55.0,59.008,0.5,top-outer 시즌감 차이가 약간 있음,15.0,54.503,,"무드 조화가 좋음, 색 조합이 안정적임, 포멀도 차이가 크지 않음, 기존 추천 점수도 높은 편",카펜터 데님 반바지 블루 + Yoyogi Pleats Hooded Zip-Up (Black) 3피스 조합 / top-outer 시즌감 차이가 약간 있음
8,3piece,JNTS5B201WT,[GENTLE JERSEY] 화이트 반팔 카라 레귤러핏 티셔츠,top,IEPA5E101B3,워시드 다이얼 와이드 팬츠 오션 네이비,JNTS5B201WT,[GENTLE JERSEY] 화이트 반팔 카라 레귤러핏 티셔츠,TNJU6E107N2,Yoyogi Pleats Hooded Zip-Up (Navy),87.8196,61.45,60.01,55.0,59.008,0.5,top-outer 시즌감 차이가 약간 있음,15.0,54.4259,,"무드 조화가 좋음, 색 조합이 안정적임, 포멀도 차이가 크지 않음, 기존 추천 점수도 높은 편",워시드 다이얼 와이드 팬츠 오션 네이비 + Yoyogi Pleats Hooded Zip-Up (Navy) 3피스 조합 / top-outer 시즌감 차이가 약간 있음
9,3piece,JNTS5B201WT,[GENTLE JERSEY] 화이트 반팔 카라 레귤러핏 티셔츠,top,IEPA5E101B2,워시드 다이얼 와이드 데님 팬츠 블루,JNTS5B201WT,[GENTLE JERSEY] 화이트 반팔 카라 레귤러핏 티셔츠,TNJU6E107N2,Yoyogi Pleats Hooded Zip-Up (Navy),87.8113,61.45,60.01,55.0,59.008,0.5,top-outer 시즌감 차이가 약간 있음,15.0,54.4231,,"무드 조화가 좋음, 색 조합이 안정적임, 포멀도 차이가 크지 않음, 기존 추천 점수도 높은 편",워시드 다이얼 와이드 데님 팬츠 블루 + Yoyogi Pleats Hooded Zip-Up (Navy) 3피스 조합 / top-outer 시즌감 차이가 약간 있음
10,3piece,JNTS5B201WT,[GENTLE JERSEY] 화이트 반팔 카라 레귤러핏 티셔츠,top,JNPA5B005B5,[BEST]원워시드 데님 스트링 밴딩팬츠,JNTS5B201WT,[GENTLE JERSEY] 화이트 반팔 카라 레귤러핏 티셔츠,TNJU6E107N2,Yoyogi Pleats Hooded Zip-Up (Navy),87.7028,61.45,60.01,55.0,59.008,0.5,top-outer 시즌감 차이가 약간 있음,15.0,54.3869,,"무드 조화가 좋음, 색 조합이 안정적임, 포멀도 차이가 크지 않음, 기존 추천 점수도 높은 편",[BEST]원워시드 데님 스트링 밴딩팬츠 + Yoyogi Pleats Hooded Zip-Up (Navy) 3피스 조합 / top-outer 시즌감 차이가 약간 있음
